SDF assignment March 2019, simulated position coordinate readings
 LZF, 12 Mar 2019
 time/s xMeas/m yMeas/m range/m angle/rad
1507200 -4266.195 -6076.291 7426.160 -2.183
1507260 -4265.387 -6076.380 7424.990 -2.183
1507320 -4263.981 -6082.989 7424.150 -2.183
1507380 -4262.858 -6073.048 7424.070 -2.183
1507440 -4268.627 -6077.389 7425.010 -2.183
1507500 -4265.259 -6074.536 7426.470 -2.183
1507560 -4264.442 -6077.244 7426.570 -2.183
1507620 -4265.287 -6073.953 7426.700 -2.183
1507680 -4263.848 -6082.016 7427.590 -2.183
1507740 -4269.050 -6086.286 7426.440 -2.183
1507800 -4262.363 -6082.326 7427.560 -2.183
1507860 -4267.327 -6082.897 7426.080 -2.182
1507920 -4265.328 -6085.658 7425.750 -2.183
1507980 -4257.417 -6076.347 7427.920 -2.183
1508040 -4263.339 -6076.997 7428.710 -2.182
1508100 -4263.122 -6078.215 7427.800 -2.182
1508160 -4273.733 -6089.447 7429.150 -2.182
1508220 -4260.019 -6090.118 7427.350 -2.182
1508280 -4257.244 -6076.430 7429.640 -2.182
1508340 -4267.993 -6083.115 7428.580 -2.182
1508400 -4264.674 -6081.206 7428.060 -2.182
1508460 -4267.008 -6085.381 7427.980 -2.182
1508520 -4271.385 -6091.099 7427.390 -2.182
1508580 -4268.133 -6083.944 7429.070 -2.182
1508640 -4263.366 -6087.124 7429.130 -2.182
1508700 -4262.146 -6074.493 7431.370 -2.182
1508760 -4260.436 -6090.039 7430.810 -2.182
1508820 -4263.150 -6087.013 7431.000 -2.182
1508880 -4263.872 -6090.676 7430.290 -2.182
1508940 -4255.121 -6079.126 7430.600 -2.182
1509000 -4262.748 -6083.523 7431.380 -2.182
1509060 -4265.293 -6092.319 7431.120 -2.182
1509120 -4258.677 -6086.494 7431.310 -2.182
1509180 -4259.325 -6093.015 7430.150 -2.181
1509240 -4261.705 -6089.607 7431.570 -2.181
1509300 -4260.248 -6077.428 7430.930 -2.181
1509360 -4264.126 -6089.157 7432.780 -2.181
1509420 -4256.133 -6094.588 7431.480 -2.181
1509480 -4259.030 -6089.587 7432.780 -2.181
1509540 -4257.129 -6092.802 7432.230 -2.181
1509600 -4255.263 -6094.818 7433.710 -2.181
1509660 -4256.430 -6095.388 7433.570 -2.181
1509720 -4267.631 -6090.595 7431.850 -2.181
1509780 -4255.096 -6089.340 7433.830 -2.181
1509840 -4262.134 -6093.520 7433.450 -2.181
1509900 -4259.098 -6097.702 7433.710 -2.181
1509960 -4258.229 -6096.076 7434.230 -2.181
1510020 -4266.328 -6087.319 7433.540 -2.181
1510080 -4252.284 -6097.304 7435.540 -2.181
1510140 -4256.303 -6096.650 7435.100 -2.181
1510200 -4255.224 -6090.347 7433.340 -2.181
1510260 -4258.618 -6100.753 7434.440 -2.181
1510320 -4255.053 -6093.119 7434.700 -2.180
1510380 -4257.173 -6097.208 7435.480 -2.180
1510440 -4258.675 -6098.369 7437.460 -2.180
1510500 -4253.484 -6092.523 7435.970 -2.180
1510560 -4258.082 -6096.107 7436.970 -2.180
1510620 -4262.372 -6096.469 7436.630 -2.180
1510680 -4255.017 -6096.494 7435.300 -2.180
1510740 -4260.618 -6097.443 7437.130 -2.180
1510800 -4258.529 -6102.061 7438.360 -2.180
1510860 -4258.862 -6104.664 7438.000 -2.180
1510920 -4251.407 -6097.105 7438.810 -2.180
1510980 -4255.125 -6102.015 7437.440 -2.180
1511040 -4260.210 -6093.607 7439.400 -2.180
1511100 -4256.892 -6102.675 7438.780 -2.180
1511160 -4252.815 -6099.486 7438.950 -2.180
1511220 -4255.354 -6093.640 7438.440 -2.180
1511280 -4256.975 -6101.985 7441.400 -2.180
1511340 -4263.641 -6101.044 7438.440 -2.180
1511400 -4259.442 -6103.609 7439.350 -2.180
1511460 -4254.323 -6096.555 7439.540 -2.180
1511520 -4261.925 -6102.047 7438.900 -2.180
1511580 -4255.614 -6099.022 7439.560 -2.179
1511640 -4255.754 -6105.454 7440.010 -2.179
1511700 -4256.513 -6111.031 7441.330 -2.179
1511760 -4256.376 -6105.202 7441.230 -2.179
1511820 -4249.997 -6100.110 7439.990 -2.179
1511880 -4259.630 -6102.199 7439.310 -2.179
1511940 -4250.147 -6106.347 7440.060 -2.179
1512000 -4254.690 -6105.892 7441.670 -2.179
1512060 -4253.886 -6110.275 7442.610 -2.179
1512120 -4251.376 -6103.268 7443.890 -2.179
1512180 -4250.473 -6110.457 7440.080 -2.179
1512240 -4240.260 -6107.291 7442.120 -2.179
1512300 -4258.915 -6113.831 7442.950 -2.179
1512360 -4251.155 -6108.236 7443.930 -2.179
1512420 -4249.519 -6102.841 7446.260 -2.179
1512480 -4252.054 -6110.676 7445.460 -2.179
1512540 -4255.314 -6108.995 7446.810 -2.179
1512600 -4252.697 -6112.878 7445.810 -2.179
1512660 -4266.477 -6116.890 7447.230 -2.179
1512720 -4253.695 -6107.727 7449.900 -2.179
1512780 -4255.319 -6107.865 7449.340 -2.179
1512840 -4252.748 -6113.393 7449.690 -2.179
1512900 -4258.935 -6113.334 7451.610 -2.179
1512960 -4257.465 -6114.385 7451.290 -2.179
1513020 -4258.252 -6121.250 7453.990 -2.179
1513080 -4264.861 -6115.889 7454.640 -2.179
1513140 -4253.012 -6114.309 7454.630 -2.179
1513200 -4267.439 -6121.978 7454.930 -2.179
1513260 -4260.307 -6113.526 7455.410 -2.179
1513320 -4263.136 -6123.189 7456.510 -2.179
1513380 -4259.285 -6120.018 7456.710 -2.179
1513440 -4261.733 -6123.488 7456.400 -2.179
1513500 -4271.167 -6122.503 7460.180 -2.179
1513560 -4256.812 -6117.676 7460.660 -2.179
1513620 -4265.036 -6125.146 7458.840 -2.179
1513680 -4268.764 -6120.772 7459.390 -2.179
1513740 -4266.761 -6124.536 7459.670 -2.179
1513800 -4262.004 -6122.712 7461.630 -2.179
1513860 -4265.841 -6125.866 7462.200 -2.179
1513920 -4276.263 -6119.804 7464.540 -2.179
1513980 -4260.154 -6120.069 7464.540 -2.179
1514040 -4267.008 -6126.321 7465.790 -2.179
1514100 -4262.996 -6134.681 7464.810 -2.179
1514160 -4262.373 -6127.621 7466.670 -2.179
1514220 -4265.444 -6122.390 7465.970 -2.179
1514280 -4267.334 -6128.829 7470.130 -2.179
1514340 -4262.383 -6131.263 7469.060 -2.179
1514400 -4273.761 -6130.714 7470.370 -2.179
1514460 -4271.941 -6143.712 7470.230 -2.179
1514520 -4274.506 -6133.511 7471.000 -2.179
1514580 -4271.356 -6134.338 7472.000 -2.179
1514640 -4276.310 -6133.940 7473.480 -2.179
1514700 -4266.341 -6133.783 7474.280 -2.179
1514760 -4270.047 -6140.372 7475.430 -2.179
1514820 -4269.914 -6141.022 7475.760 -2.179
1514880 -4269.555 -6132.519 7476.390 -2.179
1514940 -4266.107 -6139.475 7474.610 -2.179
1515000 -4275.724 -6138.049 7478.130 -2.179
1515060 -4279.516 -6133.186 7478.040 -2.179
1515120 -4278.926 -6139.255 7479.070 -2.179
1515180 -4272.334 -6135.567 7478.760 -2.179
1515240 -4273.628 -6137.668 7480.040 -2.179
1515300 -4273.461 -6140.597 7481.530 -2.179
1515360 -4274.756 -6140.688 7483.510 -2.179
1515420 -4276.641 -6145.278 7486.200 -2.179
1515480 -4283.032 -6138.839 7484.240 -2.179
1515540 -4276.035 -6138.474 7485.130 -2.179
1515600 -4270.843 -6140.099 7484.300 -2.179
1515660 -4282.078 -6142.115 7486.860 -2.179
1515720 -4274.477 -6146.491 7487.650 -2.179
1515780 -4273.010 -6150.750 7487.300 -2.179
1515840 -4282.933 -6145.980 7486.080 -2.179
1515900 -4280.266 -6137.386 7487.400 -2.179
1515960 -4279.381 -6141.343 7486.410 -2.179
1516020 -4276.642 -6144.841 7488.200 -2.179
1516080 -4277.459 -6147.797 7489.480 -2.179
1516140 -4281.466 -6147.475 7488.750 -2.180
1516200 -4281.686 -6146.247 7486.450 -2.180
1516260 -4285.512 -6143.497 7488.560 -2.180
1516320 -4283.671 -6143.361 7487.140 -2.180
1516380 -4291.683 -6144.313 7489.620 -2.180
1516440 -4282.776 -6146.998 7488.340 -2.180
1516500 -4276.194 -6142.038 7489.020 -2.180
1516560 -4281.676 -6141.932 7489.470 -2.180
1516620 -4292.864 -6141.706 7488.930 -2.180
1516680 -4282.623 -6148.106 7489.720 -2.180
1516740 -4294.917 -6147.498 7490.050 -2.180
1516800 -4283.817 -6139.191 7487.670 -2.180
1516860 -4288.748 -6142.753 7490.080 -2.181
1516920 -4296.087 -6145.133 7489.870 -2.181
1516980 -4294.125 -6131.087 7492.580 -2.181
1517040 -4289.360 -6135.240 7489.380 -2.181
1517100 -4288.056 -6137.138 7491.710 -2.181
1517160 -4295.171 -6139.747 7491.070 -2.181
1517220 -4297.356 -6140.320 7491.420 -2.181
1517280 -4295.607 -6130.345 7493.190 -2.181
1517340 -4291.216 -6142.644 7494.490 -2.181
1517400 -4291.202 -6136.008 7494.100 -2.181
1517460 -4294.787 -6136.412 7492.660 -2.181
1517520 -4290.297 -6136.145 7493.010 -2.181
1517580 -4296.069 -6139.817 7492.330 -2.181
1517640 -4294.586 -6131.976 7491.290 -2.181
1517700 -4301.255 -6133.958 7492.690 -2.182
1517760 -4296.365 -6144.414 7492.370 -2.182
1517820 -4297.463 -6136.374 7491.310 -2.182
1517880 -4302.037 -6135.327 7495.390 -2.182
1517940 -4300.328 -6139.296 7494.600 -2.182
1518000 -4298.065 -6136.655 7494.280 -2.182
1518060 -4297.038 -6132.593 7491.710 -2.182
1518120 -4307.072 -6135.823 7493.980 -2.182
1518180 -4303.967 -6129.329 7493.660 -2.182
1518240 -4296.134 -6140.499 7494.860 -2.182
1518300 -4301.307 -6139.243 7495.140 -2.182
1518360 -4294.577 -6137.075 7495.500 -2.182
1518420 -4304.719 -6134.678 7494.110 -2.183
1518480 -4306.506 -6134.778 7494.470 -2.183
1518540 -4306.157 -6132.325 7495.230 -2.183
1518600 -4306.446 -6133.496 7495.220 -2.183
1518660 -4302.430 -6134.657 7496.400 -2.183
1518720 -4303.826 -6132.171 7493.550 -2.183
1518780 -4290.198 -6129.508 7495.160 -2.183
1518840 -4299.597 -6132.690 7496.590 -2.183
1518900 -4314.714 -6142.671 7495.740 -2.183
1518960 -4307.397 -6141.127 7497.810 -2.182
1519020 -4303.058 -6145.520 7496.470 -2.182
1519080 -4306.792 -6130.068 7496.210 -2.182
1519140 -4304.099 -6140.116 7496.930 -2.182
1519200 -4302.592 -6139.715 7496.660 -2.182
1519260 -4303.222 -6146.992 7496.920 -2.182
1519320 -4308.996 -6143.043 7497.170 -2.182
1519380 -4300.795 -6136.431 7497.850 -2.182
1519440 -4305.294 -6145.408 7497.650 -2.182
1519500 -4298.567 -6134.425 7497.970 -2.182
1519560 -4309.571 -6147.735 7499.200 -2.182
1519620 -4297.935 -6147.772 7497.610 -2.181
1519680 -4298.787 -6141.150 7496.070 -2.181
1519740 -4295.404 -6149.106 7498.770 -2.181
1519800 -4299.072 -6153.728 7497.410 -2.181
1519860 -4301.020 -6143.271 7498.090 -2.181
1519920 -4296.414 -6149.327 7499.740 -2.181
1519980 -4294.471 -6148.367 7497.930 -2.181
1520040 -4298.133 -6148.352 7499.010 -2.181
1520100 -4299.460 -6141.384 7500.890 -2.181
1520160 -4296.027 -6145.938 7498.060 -2.181
1520220 -4300.273 -6147.334 7500.330 -2.180
1520280 -4299.177 -6147.118 7499.090 -2.180
1520340 -4298.994 -6156.102 7500.010 -2.180
1520400 -4289.868 -6150.511 7495.790 -2.180
1520460 -4290.019 -6149.100 7498.610 -2.180
1520520 -4290.703 -6150.823 7496.860 -2.180
1520580 -4276.624 -6153.409 7498.840 -2.180
1520640 -4287.438 -6151.161 7498.460 -2.180
1520700 -4286.497 -6161.213 7497.940 -2.180
1520760 -4288.071 -6159.971 7498.400 -2.180
1520820 -4293.842 -6153.432 7498.990 -2.180
1520880 -4280.793 -6160.678 7500.130 -2.179
1520940 -4281.870 -6156.515 7499.500 -2.179
1521000 -4283.822 -6155.033 7499.050 -2.179
1521060 -4293.619 -6156.446 7496.880 -2.179
1521120 -4281.343 -6153.930 7499.410 -2.179
1521180 -4282.904 -6156.407 7497.900 -2.179
1521240 -4274.238 -6151.779 7500.090 -2.179
1521300 -4283.576 -6157.544 7499.390 -2.179
1521360 -4285.277 -6152.714 7500.960 -2.179
1521420 -4285.043 -6153.098 7498.780 -2.178
1521480 -4282.296 -6157.234 7501.350 -2.178
1521540 -4283.461 -6151.289 7500.100 -2.178
